species,park,observations
Sphagnum affine,Great Smoky Mountains National Park,108
Sphagnum affine,Yosemite National Park,164
Sphagnum affine,Bryce National Park,126
Sphagnum affine,Yellowstone National Park,258
Polygonum caespitosum,Great Smoky Mountains National Park,58
Polygonum caespitosum,Yosemite National Park,141
Polygonum caespitosum,Bryce National Park,107
Polygonum caespitosum,Yellowstone National Park,261
Linnaea borealis var. longiflora,Great Smoky Mountains National Park,96
Linnaea borealis var. longiflora,Yosemite National Park,176
Linnaea borealis var. longiflora,Bryce National Park,96
Linnaea borealis var. longiflora,Yellowstone National Park,240
Penstemon deustus,Great Smoky Mountains National Park,111
Penstemon deustus,Yosemite National Park,152
Penstemon deustus,Bryce National Park,127
Penstemon deustus,Yellowstone National Park,262
Elgaria coerulea palmeri,Great Smoky Mountains National Park,98
Elgaria coerulea palmeri,Yosemite National Park,122
Elgaria coerulea palmeri,Bryce National Park,115
Elgaria coerulea palmeri,Yellowstone National Park,269
Arabis lyallii var. lyallii,Great Smoky Mountains National Park,70
Arabis lyallii var. lyallii,Yosemite National Park,174
Arabis lyallii var. lyallii,Bryce National Park,61
Arabis lyallii var. lyallii,Yellowstone National Park,263
Rubus trivialis,Great Smoky Mountains National Park,49
Rubus trivialis,Yosemite National Park,174
Rubus trivialis,Bryce National Park,111
Rubus trivialis,Yellowstone National Park,261
Cercis occidentalis,Great Smoky Mountains National Park,73
Cercis occidentalis,Yosemite National Park,155
Cercis occidentalis,Bryce National Park,147
Cercis occidentalis,Yellowstone National Park,249
Salix humilis,Great Smoky Mountains National Park,76
Salix humilis,Yosemite National Park,118
Salix humilis,Bryce National Park,110
Salix humilis,Yellowstone National Park,251
Lithophragma tenellum,Great Smoky Mountains National Park,83
Lithophragma tenellum,Yosemite National Park,132
Lithophragma tenellum,Bryce National Park,62
Lithophragma tenellum,Yellowstone National Park,246
Ursus americanus,Great Smoky Mountains National Park,122
Ursus americanus,Yosemite National Park,323
Ursus americanus,Bryce National Park,214
Ursus americanus,Yellowstone National Park,473
Cryptantha torreyana,Great Smoky Mountains National Park,76
Cryptantha torreyana,Yosemite National Park,155
Cryptantha torreyana,Bryce National Park,117
Cryptantha torreyana,Yellowstone National Park,252
Scirpus cernuus,Great Smoky Mountains National Park,101
Scirpus cernuus,Yosemite National Park,141
Scirpus cernuus,Bryce National Park,75
Scirpus cernuus,Yellowstone National Park,251
Melanerpes formicivorus,Great Smoky Mountains National Park,89
Melanerpes formicivorus,Yosemite National Park,118
Melanerpes formicivorus,Bryce National Park,100
Melanerpes formicivorus,Yellowstone National Park,246
Sonchus asper ssp. asper,Great Smoky Mountains National Park,147
Sonchus asper ssp. asper,Yosemite National Park,117
Sonchus asper ssp. asper,Bryce National Park,124
Sonchus asper ssp. asper,Yellowstone National Park,215
Physalis virginiana,Great Smoky Mountains National Park,82
Physalis virginiana,Yosemite National Park,150
Physalis virginiana,Bryce National Park,67
Physalis virginiana,Yellowstone National Park,296
Phacelia imbricata ssp. imbricata,Great Smoky Mountains National Park,88
Phacelia imbricata ssp. imbricata,Yosemite National Park,120
Phacelia imbricata ssp. imbricata,Bryce National Park,105
Phacelia imbricata ssp. imbricata,Yellowstone National Park,261
Dicentra canadensis,Great Smoky Mountains National Park,74
Dicentra canadensis,Yosemite National Park,148
Dicentra canadensis,Bryce National Park,117
Dicentra canadensis,Yellowstone National Park,243
Solidago canadensis var. salebrosa,Great Smoky Mountains National Park,80
Solidago canadensis var. salebrosa,Yosemite National Park,113
Solidago canadensis var. salebrosa,Bryce National Park,130
Solidago canadensis var. salebrosa,Yellowstone National Park,227
Asclepias cordifolia,Great Smoky Mountains National Park,82
Asclepias cordifolia,Yosemite National Park,151
Asclepias cordifolia,Bryce National Park,86
Asclepias cordifolia,Yellowstone National Park,283
Pseudotriton ruber nitidus,Great Smoky Mountains National Park,59
Pseudotriton ruber nitidus,Yosemite National Park,111
Pseudotriton ruber nitidus,Bryce National Park,82
Pseudotriton ruber nitidus,Yellowstone National Park,250
Sorex lyelli,Great Smoky Mountains National Park,54
Sorex lyelli,Yosemite National Park,115
Sorex lyelli,Bryce National Park,104
Sorex lyelli,Yellowstone National Park,279
Vitis vulpina,Great Smoky Mountains National Park,82
Vitis vulpina,Yosemite National Park,164
Vitis vulpina,Bryce National Park,78
Vitis vulpina,Yellowstone National Park,230
Potentilla pseudosericea,Great Smoky Mountains National Park,83
Potentilla pseudosericea,Yosemite National Park,188
Potentilla pseudosericea,Bryce National Park,72
Potentilla pseudosericea,Yellowstone National Park,253
Arnica longifolia,Great Smoky Mountains National Park,72
Arnica longifolia,Yosemite National Park,137
Arnica longifolia,Bryce National Park,90
Arnica longifolia,Yellowstone National Park,262
Carex cephalophora,Great Smoky Mountains National Park,85
Carex cephalophora,Yosemite National Park,183
Carex cephalophora,Bryce National Park,88
Carex cephalophora,Yellowstone National Park,260
Poa pringlei,Great Smoky Mountains National Park,64
Poa pringlei,Yosemite National Park,136
Poa pringlei,Bryce National Park,115
Poa pringlei,Yellowstone National Park,222
Uniola laxa,Great Smoky Mountains National Park,53
Uniola laxa,Yosemite National Park,157
Uniola laxa,Bryce National Park,99
Uniola laxa,Yellowstone National Park,274
Quercus kelloggii,Great Smoky Mountains National Park,97
Quercus kelloggii,Yosemite National Park,130
Quercus kelloggii,Bryce National Park,121
Quercus kelloggii,Yellowstone National Park,243
Ionactis linariifolius,Great Smoky Mountains National Park,72
Ionactis linariifolius,Yosemite National Park,152
Ionactis linariifolius,Bryce National Park,91
Ionactis linariifolius,Yellowstone National Park,247
Clematis lasiantha,Great Smoky Mountains National Park,67
Clematis lasiantha,Yosemite National Park,155
Clematis lasiantha,Bryce National Park,103
Clematis lasiantha,Yellowstone National Park,266
Ribes lacustre,Great Smoky Mountains National Park,71
Ribes lacustre,Yosemite National Park,175
Ribes lacustre,Bryce National Park,76
Ribes lacustre,Yellowstone National Park,229
Equisetum variegatum,Great Smoky Mountains National Park,91
Equisetum variegatum,Yosemite National Park,166
Equisetum variegatum,Bryce National Park,141
Equisetum variegatum,Yellowstone National Park,219
Chen rossii,Great Smoky Mountains National Park,59
Chen rossii,Yosemite National Park,164
Chen rossii,Bryce National Park,124
Chen rossii,Yellowstone National Park,254
Etheostoma flabellare,Great Smoky Mountains National Park,75
Etheostoma flabellare,Yosemite National Park,156
Etheostoma flabellare,Bryce National Park,104
Etheostoma flabellare,Yellowstone National Park,264
Physostegia virginiana ssp. virginiana,Great Smoky Mountains National Park,72
Physostegia virginiana ssp. virginiana,Yosemite National Park,137
Physostegia virginiana ssp. virginiana,Bryce National Park,98
Physostegia virginiana ssp. virginiana,Yellowstone National Park,242
Allium obtusum,Great Smoky Mountains National Park,81
Allium obtusum,Yosemite National Park,157
Allium obtusum,Bryce National Park,127
Allium obtusum,Yellowstone National Park,230
Carex pachystachya,Great Smoky Mountains National Park,109
Carex pachystachya,Yosemite National Park,165
Carex pachystachya,Bryce National Park,73
Carex pachystachya,Yellowstone National Park,228
Pinus echinata,Great Smoky Mountains National Park,76
Pinus echinata,Yosemite National Park,174
Pinus echinata,Bryce National Park,69
Pinus echinata,Yellowstone National Park,274
Sphaeromeria cana,Great Smoky Mountains National Park,50
Sphaeromeria cana,Yosemite National Park,169
Sphaeromeria cana,Bryce National Park,109
Sphaeromeria cana,Yellowstone National Park,252
Carex subfusca,Great Smoky Mountains National Park,59
Carex subfusca,Yosemite National Park,146
Carex subfusca,Bryce National Park,110
Carex subfusca,Yellowstone National Park,290
Rhamnus rubra,Great Smoky Mountains National Park,88
Rhamnus rubra,Yosemite National Park,168
Rhamnus rubra,Bryce National Park,92
Rhamnus rubra,Yellowstone National Park,248
Cuscuta californica var. californica,Great Smoky Mountains National Park,65
Cuscuta californica var. californica,Yosemite National Park,133
Cuscuta californica var. californica,Bryce National Park,71
Cuscuta californica var. californica,Yellowstone National Park,252
Sphagnum compactum,Great Smoky Mountains National Park,80
Sphagnum compactum,Yosemite National Park,113
Sphagnum compactum,Bryce National Park,92
Sphagnum compactum,Yellowstone National Park,233
Ranunculus orthorhynchus var. orthorhynchus,Great Smoky Mountains National Park,48
Ranunculus orthorhynchus var. orthorhynchus,Yosemite National Park,153
Ranunculus orthorhynchus var. orthorhynchus,Bryce National Park,104
Ranunculus orthorhynchus var. orthorhynchus,Yellowstone National Park,240
Pylodictis olivaris,Great Smoky Mountains National Park,77
Pylodictis olivaris,Yosemite National Park,143
Pylodictis olivaris,Bryce National Park,89
Pylodictis olivaris,Yellowstone National Park,236
Nyssa sylvatica,Great Smoky Mountains National Park,92
Nyssa sylvatica,Yosemite National Park,158
Nyssa sylvatica,Bryce National Park,60
Nyssa sylvatica,Yellowstone National Park,264
Micropus californicus var. californicus,Great Smoky Mountains National Park,87
Micropus californicus var. californicus,Yosemite National Park,183
Micropus californicus var. californicus,Bryce National Park,81
Micropus californicus var. californicus,Yellowstone National Park,251
Sisyrinchium albidum,Great Smoky Mountains National Park,91
Sisyrinchium albidum,Yosemite National Park,149
Sisyrinchium albidum,Bryce National Park,118
Sisyrinchium albidum,Yellowstone National Park,261
Hepatica nobilis var. acuta,Great Smoky Mountains National Park,76
Hepatica nobilis var. acuta,Yosemite National Park,172
Hepatica nobilis var. acuta,Bryce National Park,70
Hepatica nobilis var. acuta,Yellowstone National Park,229
Artemisia rothrockii,Great Smoky Mountains National Park,118
Artemisia rothrockii,Yosemite National Park,163
Artemisia rothrockii,Bryce National Park,88
Artemisia rothrockii,Yellowstone National Park,269
Rhododendron X bakeri,Great Smoky Mountains National Park,87
Rhododendron X bakeri,Yosemite National Park,181
Rhododendron X bakeri,Bryce National Park,121
Rhododendron X bakeri,Yellowstone National Park,276
Lupinus stiversii,Great Smoky Mountains National Park,93
Lupinus stiversii,Yosemite National Park,173
Lupinus stiversii,Bryce National Park,91
Lupinus stiversii,Yellowstone National Park,265
Calidris fuscicollis,Great Smoky Mountains National Park,67
Calidris fuscicollis,Yosemite National Park,132
Calidris fuscicollis,Bryce National Park,118
Calidris fuscicollis,Yellowstone National Park,259
Capsella bursa-pastoris,Great Smoky Mountains National Park,159
Capsella bursa-pastoris,Yosemite National Park,277
Capsella bursa-pastoris,Bryce National Park,182
Capsella bursa-pastoris,Yellowstone National Park,561
Bromus inermis ssp. inermis,Great Smoky Mountains National Park,73
Bromus inermis ssp. inermis,Yosemite National Park,174
Bromus inermis ssp. inermis,Bryce National Park,65
Bromus inermis ssp. inermis,Yellowstone National Park,257
Hedysarum occidentale,Great Smoky Mountains National Park,69
Hedysarum occidentale,Yosemite National Park,157
Hedysarum occidentale,Bryce National Park,142
Hedysarum occidentale,Yellowstone National Park,222
Carex cumberlandensis,Great Smoky Mountains National Park,97
Carex cumberlandensis,Yosemite National Park,118
Carex cumberlandensis,Bryce National Park,89
Carex cumberlandensis,Yellowstone National Park,245
Dendroica striata,Great Smoky Mountains National Park,76
Dendroica striata,Yosemite National Park,134
Dendroica striata,Bryce National Park,110
Dendroica striata,Yellowstone National Park,241
Mnium hornum,Great Smoky Mountains National Park,70
Mnium hornum,Yosemite National Park,134
Mnium hornum,Bryce National Park,64
Mnium hornum,Yellowstone National Park,252
Machaeranthera canescens var. canescens,Great Smoky Mountains National Park,97
Machaeranthera canescens var. canescens,Yosemite National Park,131
Machaeranthera canescens var. canescens,Bryce National Park,97
Machaeranthera canescens var. canescens,Yellowstone National Park,254
Cryptantha celosioides,Great Smoky Mountains National Park,54
Cryptantha celosioides,Yosemite National Park,152
Cryptantha celosioides,Bryce National Park,57
Cryptantha celosioides,Yellowstone National Park,241
Arabis canadensis,Great Smoky Mountains National Park,27
Arabis canadensis,Yosemite National Park,79
Arabis canadensis,Bryce National Park,126
Arabis canadensis,Yellowstone National Park,257
Phoradendron pauciflorum,Great Smoky Mountains National Park,116
Phoradendron pauciflorum,Yosemite National Park,136
Phoradendron pauciflorum,Bryce National Park,123
Phoradendron pauciflorum,Yellowstone National Park,242
Cardamine clematitis,Great Smoky Mountains National Park,26
Cardamine clematitis,Yosemite National Park,126
Cardamine clematitis,Bryce National Park,108
Cardamine clematitis,Yellowstone National Park,193
Epigaea repens,Great Smoky Mountains National Park,81
Epigaea repens,Yosemite National Park,160
Epigaea repens,Bryce National Park,98
Epigaea repens,Yellowstone National Park,234
Cryptantha spiculifera,Great Smoky Mountains National Park,112
Cryptantha spiculifera,Yosemite National Park,124
Cryptantha spiculifera,Bryce National Park,102
Cryptantha spiculifera,Yellowstone National Park,241
Eupatorium rotundifolium,Great Smoky Mountains National Park,85
Eupatorium rotundifolium,Yosemite National Park,161
Eupatorium rotundifolium,Bryce National Park,97
Eupatorium rotundifolium,Yellowstone National Park,219
Agastache scrophulariifolia,Great Smoky Mountains National Park,55
Agastache scrophulariifolia,Yosemite National Park,133
Agastache scrophulariifolia,Bryce National Park,116
Agastache scrophulariifolia,Yellowstone National Park,232
Polypogon maritimus,Great Smoky Mountains National Park,76
Polypogon maritimus,Yosemite National Park,178
Polypogon maritimus,Bryce National Park,110
Polypogon maritimus,Yellowstone National Park,216
Carex scopulorum,Great Smoky Mountains National Park,89
Carex scopulorum,Yosemite National Park,140
Carex scopulorum,Bryce National Park,123
Carex scopulorum,Yellowstone National Park,272
Paronychia canadensis,Great Smoky Mountains National Park,57
Paronychia canadensis,Yosemite National Park,175
Paronychia canadensis,Bryce National Park,126
Paronychia canadensis,Yellowstone National Park,254
Polygala cruciata,Great Smoky Mountains National Park,74
Polygala cruciata,Yosemite National Park,156
Polygala cruciata,Bryce National Park,111
Polygala cruciata,Yellowstone National Park,235
Symphyotrichum puniceum var. puniceum,Great Smoky Mountains National Park,67
Symphyotrichum puniceum var. puniceum,Yosemite National Park,130
Symphyotrichum puniceum var. puniceum,Bryce National Park,90
Symphyotrichum puniceum var. puniceum,Yellowstone National Park,228
Quiscalus mexicanus,Great Smoky Mountains National Park,99
Quiscalus mexicanus,Yosemite National Park,133
Quiscalus mexicanus,Bryce National Park,92
Quiscalus mexicanus,Yellowstone National Park,297
Carex ruthii,Great Smoky Mountains National Park,88
Carex ruthii,Yosemite National Park,160
Carex ruthii,Bryce National Park,92
Carex ruthii,Yellowstone National Park,257
Phoxinus oreas,Great Smoky Mountains National Park,74
Phoxinus oreas,Yosemite National Park,143
Phoxinus oreas,Bryce National Park,116
Phoxinus oreas,Yellowstone National Park,252
Bolandra californica,Great Smoky Mountains National Park,87
Bolandra californica,Yosemite National Park,162
Bolandra californica,Bryce National Park,80
Bolandra californica,Yellowstone National Park,243
Carex microptera,Great Smoky Mountains National Park,62
Carex microptera,Yosemite National Park,186
Carex microptera,Bryce National Park,141
Carex microptera,Yellowstone National Park,265
Prunus munsoniana,Great Smoky Mountains National Park,89
Prunus munsoniana,Yosemite National Park,151
Prunus munsoniana,Bryce National Park,104
Prunus munsoniana,Yellowstone National Park,209
Setophaga townsendi,Great Smoky Mountains National Park,58
Setophaga townsendi,Yosemite National Park,137
Setophaga townsendi,Bryce National Park,79
Setophaga townsendi,Yellowstone National Park,251
Bromus racemosus,Great Smoky Mountains National Park,66
Bromus racemosus,Yosemite National Park,121
Bromus racemosus,Bryce National Park,134
Bromus racemosus,Yellowstone National Park,278
Aegopodium podagraria,Great Smoky Mountains National Park,52
Aegopodium podagraria,Yosemite National Park,198
Aegopodium podagraria,Bryce National Park,112
Aegopodium podagraria,Yellowstone National Park,249
Carex angustata,Great Smoky Mountains National Park,69
Carex angustata,Yosemite National Park,167
Carex angustata,Bryce National Park,76
Carex angustata,Yellowstone National Park,221
Malva pusilla,Great Smoky Mountains National Park,66
Malva pusilla,Yosemite National Park,152
Malva pusilla,Bryce National Park,106
Malva pusilla,Yellowstone National Park,297
Eriogonum prattenianum var. avium,Great Smoky Mountains National Park,84
Eriogonum prattenianum var. avium,Yosemite National Park,161
Eriogonum prattenianum var. avium,Bryce National Park,56
Eriogonum prattenianum var. avium,Yellowstone National Park,245
Dendroica discolor,Great Smoky Mountains National Park,97
Dendroica discolor,Yosemite National Park,148
Dendroica discolor,Bryce National Park,117
Dendroica discolor,Yellowstone National Park,280
Chenopodium pratericola,Great Smoky Mountains National Park,60
Chenopodium pratericola,Yosemite National Park,160
Chenopodium pratericola,Bryce National Park,56
Chenopodium pratericola,Yellowstone National Park,264
Nothocalais nigrescens,Great Smoky Mountains National Park,74
Nothocalais nigrescens,Yosemite National Park,181
Nothocalais nigrescens,Bryce National Park,94
Nothocalais nigrescens,Yellowstone National Park,259
Potentilla glandulosa ssp. glandulosa,Great Smoky Mountains National Park,77
Potentilla glandulosa ssp. glandulosa,Yosemite National Park,169
Potentilla glandulosa ssp. glandulosa,Bryce National Park,122
Potentilla glandulosa ssp. glandulosa,Yellowstone National Park,220
Carex amplifolia,Great Smoky Mountains National Park,98
Carex amplifolia,Yosemite National Park,143
Carex amplifolia,Bryce National Park,123
Carex amplifolia,Yellowstone National Park,228
Geranium columbinum,Great Smoky Mountains National Park,109
Geranium columbinum,Yosemite National Park,159
Geranium columbinum,Bryce National Park,112
Geranium columbinum,Yellowstone National Park,269
Commelina erecta,Great Smoky Mountains National Park,62
Commelina erecta,Yosemite National Park,131
Commelina erecta,Bryce National Park,112
Commelina erecta,Yellowstone National Park,224
Lolium perenne ssp. multiflorum,Great Smoky Mountains National Park,95
Lolium perenne ssp. multiflorum,Yosemite National Park,152
Lolium perenne ssp. multiflorum,Bryce National Park,73
Lolium perenne ssp. multiflorum,Yellowstone National Park,224
Viola blanda,Great Smoky Mountains National Park,85
Viola blanda,Yosemite National Park,161
Viola blanda,Bryce National Park,118
Viola blanda,Yellowstone National Park,263
Silene dichotoma,Great Smoky Mountains National Park,84
Silene dichotoma,Yosemite National Park,126
Silene dichotoma,Bryce National Park,139
Silene dichotoma,Yellowstone National Park,274
Sterna fuscata,Great Smoky Mountains National Park,123
Sterna fuscata,Yosemite National Park,153
Sterna fuscata,Bryce National Park,105
Sterna fuscata,Yellowstone National Park,252
Homomallium adnatum,Great Smoky Mountains National Park,63
Homomallium adnatum,Yosemite National Park,179
Homomallium adnatum,Bryce National Park,90
Homomallium adnatum,Yellowstone National Park,237
Iris verna var. smalliana,Great Smoky Mountains National Park,31
Iris verna var. smalliana,Yosemite National Park,154
Iris verna var. smalliana,Bryce National Park,114
Iris verna var. smalliana,Yellowstone National Park,242
Nothocalais troximoides,Great Smoky Mountains National Park,66
Nothocalais troximoides,Yosemite National Park,170
Nothocalais troximoides,Bryce National Park,108
Nothocalais troximoides,Yellowstone National Park,264
Fissidens bryoides,Great Smoky Mountains National Park,73
Fissidens bryoides,Yosemite National Park,142
Fissidens bryoides,Bryce National Park,124
Fissidens bryoides,Yellowstone National Park,249
Betula pendula,Great Smoky Mountains National Park,70
Betula pendula,Yosemite National Park,131
Betula pendula,Bryce National Park,99
Betula pendula,Yellowstone National Park,249
Anthemis arvensis,Great Smoky Mountains National Park,82
Anthemis arvensis,Yosemite National Park,152
Anthemis arvensis,Bryce National Park,98
Anthemis arvensis,Yellowstone National Park,249
Ceanothus integerrimus,Great Smoky Mountains National Park,55
Ceanothus integerrimus,Yosemite National Park,164
Ceanothus integerrimus,Bryce National Park,88
Ceanothus integerrimus,Yellowstone National Park,266
Briza minor,Great Smoky Mountains National Park,71
Briza minor,Yosemite National Park,209
Briza minor,Bryce National Park,87
Briza minor,Yellowstone National Park,259
Spartina gracilis,Great Smoky Mountains National Park,56
Spartina gracilis,Yosemite National Park,144
Spartina gracilis,Bryce National Park,108
Spartina gracilis,Yellowstone National Park,242
Nemophila parviflora var. austiniae,Great Smoky Mountains National Park,54
Nemophila parviflora var. austiniae,Yosemite National Park,151
Nemophila parviflora var. austiniae,Bryce National Park,113
Nemophila parviflora var. austiniae,Yellowstone National Park,260
Clematis virginiana,Great Smoky Mountains National Park,88
Clematis virginiana,Yosemite National Park,137
Clematis virginiana,Bryce National Park,122
Clematis virginiana,Yellowstone National Park,248
Viburnum prunifolium,Great Smoky Mountains National Park,94
Viburnum prunifolium,Yosemite National Park,114
Viburnum prunifolium,Bryce National Park,102
Viburnum prunifolium,Yellowstone National Park,265
Prunus serotina,Great Smoky Mountains National Park,112
Prunus serotina,Yosemite National Park,148
Prunus serotina,Bryce National Park,101
Prunus serotina,Yellowstone National Park,255
Opuntia humifusa,Great Smoky Mountains National Park,68
Opuntia humifusa,Yosemite National Park,154
Opuntia humifusa,Bryce National Park,64
Opuntia humifusa,Yellowstone National Park,248
Spiraea betulifolia var. lucida,Great Smoky Mountains National Park,53
Spiraea betulifolia var. lucida,Yosemite National Park,128
Spiraea betulifolia var. lucida,Bryce National Park,118
Spiraea betulifolia var. lucida,Yellowstone National Park,249
Thomomys talpoides,Great Smoky Mountains National Park,73
Thomomys talpoides,Yosemite National Park,159
Thomomys talpoides,Bryce National Park,98
Thomomys talpoides,Yellowstone National Park,238
Stellula calliope,Great Smoky Mountains National Park,63
Stellula calliope,Yosemite National Park,127
Stellula calliope,Bryce National Park,104
Stellula calliope,Yellowstone National Park,224
Ranunculus alismifolius var. alismellus,Great Smoky Mountains National Park,90
Ranunculus alismifolius var. alismellus,Yosemite National Park,154
Ranunculus alismifolius var. alismellus,Bryce National Park,83
Ranunculus alismifolius var. alismellus,Yellowstone National Park,251
Streptopus amplexifolius,Great Smoky Mountains National Park,73
Streptopus amplexifolius,Yosemite National Park,164
Streptopus amplexifolius,Bryce National Park,95
Streptopus amplexifolius,Yellowstone National Park,258
Potentilla norvegica,Great Smoky Mountains National Park,131
Potentilla norvegica,Yosemite National Park,296
Potentilla norvegica,Bryce National Park,221
Potentilla norvegica,Yellowstone National Park,480
Cystopteris protrusa,Great Smoky Mountains National Park,46
Cystopteris protrusa,Yosemite National Park,160
Cystopteris protrusa,Bryce National Park,79
Cystopteris protrusa,Yellowstone National Park,280
Hieracium pilosella,Great Smoky Mountains National Park,110
Hieracium pilosella,Yosemite National Park,140
Hieracium pilosella,Bryce National Park,68
Hieracium pilosella,Yellowstone National Park,244
Physostegia virginiana ssp. praemorsa,Great Smoky Mountains National Park,99
Physostegia virginiana ssp. praemorsa,Yosemite National Park,149
Physostegia virginiana ssp. praemorsa,Bryce National Park,79
Physostegia virginiana ssp. praemorsa,Yellowstone National Park,217
Ilex opaca,Great Smoky Mountains National Park,64
Ilex opaca,Yosemite National Park,146
Ilex opaca,Bryce National Park,96
Ilex opaca,Yellowstone National Park,283
Saxifraga micranthidifolia,Great Smoky Mountains National Park,73
Saxifraga micranthidifolia,Yosemite National Park,161
Saxifraga micranthidifolia,Bryce National Park,117
Saxifraga micranthidifolia,Yellowstone National Park,273
Minuartia douglasii,Great Smoky Mountains National Park,96
Minuartia douglasii,Yosemite National Park,140
Minuartia douglasii,Bryce National Park,109
Minuartia douglasii,Yellowstone National Park,247
Philadelphus hirsutus,Great Smoky Mountains National Park,48
Philadelphus hirsutus,Yosemite National Park,145
Philadelphus hirsutus,Bryce National Park,113
Philadelphus hirsutus,Yellowstone National Park,287
Eurybia conspicua,Great Smoky Mountains National Park,54
Eurybia conspicua,Yosemite National Park,147
Eurybia conspicua,Bryce National Park,96
Eurybia conspicua,Yellowstone National Park,243
Penstemon canescens,Great Smoky Mountains National Park,75
Penstemon canescens,Yosemite National Park,155
Penstemon canescens,Bryce National Park,68
Penstemon canescens,Yellowstone National Park,256
Ameiurus natalis,Great Smoky Mountains National Park,95
Ameiurus natalis,Yosemite National Park,156
Ameiurus natalis,Bryce National Park,105
Ameiurus natalis,Yellowstone National Park,240
Selaginella selaginoides,Great Smoky Mountains National Park,91
Selaginella selaginoides,Yosemite National Park,146
Selaginella selaginoides,Bryce National Park,93
Selaginella selaginoides,Yellowstone National Park,259
Anas clypeata,Great Smoky Mountains National Park,82
Anas clypeata,Yosemite National Park,153
Anas clypeata,Bryce National Park,91
Anas clypeata,Yellowstone National Park,269
Viola pinetorum ssp. pinetorum,Great Smoky Mountains National Park,58
Viola pinetorum ssp. pinetorum,Yosemite National Park,152
Viola pinetorum ssp. pinetorum,Bryce National Park,91
Viola pinetorum ssp. pinetorum,Yellowstone National Park,253
Dudleya cymosa ssp. cymosa,Great Smoky Mountains National Park,88
Dudleya cymosa ssp. cymosa,Yosemite National Park,115
Dudleya cymosa ssp. cymosa,Bryce National Park,109
Dudleya cymosa ssp. cymosa,Yellowstone National Park,304
Cuscuta californica var. breviflora,Great Smoky Mountains National Park,101
Cuscuta californica var. breviflora,Yosemite National Park,152
Cuscuta californica var. breviflora,Bryce National Park,107
Cuscuta californica var. breviflora,Yellowstone National Park,261
Passiflora incarnata,Great Smoky Mountains National Park,72
Passiflora incarnata,Yosemite National Park,152
Passiflora incarnata,Bryce National Park,119
Passiflora incarnata,Yellowstone National Park,289
Pooecetes gramineus,Great Smoky Mountains National Park,102
Pooecetes gramineus,Yosemite National Park,116
Pooecetes gramineus,Bryce National Park,120
Pooecetes gramineus,Yellowstone National Park,244
Phacelia fimbriata,Great Smoky Mountains National Park,94
Phacelia fimbriata,Yosemite National Park,173
Phacelia fimbriata,Bryce National Park,99
Phacelia fimbriata,Yellowstone National Park,257
Sorex nanus,Great Smoky Mountains National Park,60
Sorex nanus,Yosemite National Park,166
Sorex nanus,Bryce National Park,89
Sorex nanus,Yellowstone National Park,216
Viola canadensis var. canadensis,Great Smoky Mountains National Park,83
Viola canadensis var. canadensis,Yosemite National Park,155
Viola canadensis var. canadensis,Bryce National Park,125
Viola canadensis var. canadensis,Yellowstone National Park,276
Mentha spicata,Great Smoky Mountains National Park,95
Mentha spicata,Yosemite National Park,152
Mentha spicata,Bryce National Park,121
Mentha spicata,Yellowstone National Park,281
Sorghastrum nutans,Great Smoky Mountains National Park,96
Sorghastrum nutans,Yosemite National Park,154
Sorghastrum nutans,Bryce National Park,109
Sorghastrum nutans,Yellowstone National Park,270
Stachys nuttallii,Great Smoky Mountains National Park,83
Stachys nuttallii,Yosemite National Park,157
Stachys nuttallii,Bryce National Park,101
Stachys nuttallii,Yellowstone National Park,259
Lepomis gibbosus,Great Smoky Mountains National Park,133
Lepomis gibbosus,Yosemite National Park,171
Lepomis gibbosus,Bryce National Park,95
Lepomis gibbosus,Yellowstone National Park,235
Linanthus harknessii,Great Smoky Mountains National Park,89
Linanthus harknessii,Yosemite National Park,162
Linanthus harknessii,Bryce National Park,48
Linanthus harknessii,Yellowstone National Park,256
Lycoris radiata,Great Smoky Mountains National Park,67
Lycoris radiata,Yosemite National Park,125
Lycoris radiata,Bryce National Park,103
Lycoris radiata,Yellowstone National Park,245
Baccharis pilularis,Great Smoky Mountains National Park,86
Baccharis pilularis,Yosemite National Park,189
Baccharis pilularis,Bryce National Park,70
Baccharis pilularis,Yellowstone National Park,262
Duchesnea indica,Great Smoky Mountains National Park,34
Duchesnea indica,Yosemite National Park,168
Duchesnea indica,Bryce National Park,116
Duchesnea indica,Yellowstone National Park,245
Helianthus maximiliani,Great Smoky Mountains National Park,71
Helianthus maximiliani,Yosemite National Park,120
Helianthus maximiliani,Bryce National Park,116
Helianthus maximiliani,Yellowstone National Park,226
Vireo huttoni,Great Smoky Mountains National Park,71
Vireo huttoni,Yosemite National Park,164
Vireo huttoni,Bryce National Park,113
Vireo huttoni,Yellowstone National Park,240
Eleocharis acicularis var. acicularis,Great Smoky Mountains National Park,50
Eleocharis acicularis var. acicularis,Yosemite National Park,134
Eleocharis acicularis var. acicularis,Bryce National Park,46
Eleocharis acicularis var. acicularis,Yellowstone National Park,241
Plantago aristata,Great Smoky Mountains National Park,83
Plantago aristata,Yosemite National Park,146
Plantago aristata,Bryce National Park,85
Plantago aristata,Yellowstone National Park,217
Muhlenbergia frondosa,Great Smoky Mountains National Park,69
Muhlenbergia frondosa,Yosemite National Park,171
Muhlenbergia frondosa,Bryce National Park,88
Muhlenbergia frondosa,Yellowstone National Park,235
Carex abrupta,Great Smoky Mountains National Park,98
